date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:50	1961/1961	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Jan%202024%2016:32:50%20GMT	https://snake.rip/robots.txt		(from )
17:32:50	19202/19202	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202024%2016:32:50%20GMT	https://snake.rip/	C:/Users/ahmed/OneDrive/Escritorio/Karmancos%20web/spinnin/snake.rip/index.html	(from )
17:32:50	1544/1544	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a8302b23ac9762d56f5d4182993ded83%22	https://snake.rip/favicon.svg	C:/Users/ahmed/OneDrive/Escritorio/Karmancos%20web/spinnin/snake.rip/favicon.svg	(from https://snake.rip/)
17:32:51	180/180	---MCZ	200	added ('OK')	application/xml	etag:W/%2295923b25e00690bacc4cbd5f3e7cb4b1%22	https://snake.rip/sitemap-index.xml	C:/Users/ahmed/OneDrive/Escritorio/Karmancos%20web/spinnin/snake.rip/sitemap-index.xml	(from https://snake.rip/)
17:32:51	10961/10961	---MCZ	200	added ('OK')	text/css	etag:W/%2251d3045c5058638cdf766a7524d97a6a%22	https://snake.rip/_astro/404.c39d648b.css	C:/Users/ahmed/OneDrive/Escritorio/Karmancos%20web/spinnin/snake.rip/_astro/404.c39d648b.css	(from https://snake.rip/)
17:32:51	5274/5274	---MCZ	200	added ('OK')	text/css	etag:W/%227be3eceff20db2ed4f83a63a6f1d7616%22	https://snake.rip/_astro/index.6fa8d016.css	C:/Users/ahmed/OneDrive/Escritorio/Karmancos%20web/spinnin/snake.rip/_astro/index.6fa8d016.css	(from https://snake.rip/)
17:32:51	26692/26692	---M--	200	added ('OK')	font/woff2	etag:%222e42f0c843bccde2b5e7d9d33f0b8284%22	https://snake.rip/_astro/inter-cyrillic-ext-wght-normal.848492d3.woff2	C:/Users/ahmed/OneDrive/Escritorio/Karmancos%20web/spinnin/snake.rip/_astro/inter-cyrillic-ext-wght-normal.848492d3.woff2	(from https://snake.rip/)
17:32:52	17076/17076	---M--	200	added ('OK')	font/woff2	etag:%22bd760b148b0638ae9b797757ca1ac2bb%22	https://snake.rip/_astro/inter-cyrillic-wght-normal.262a1054.woff2	C:/Users/ahmed/OneDrive/Escritorio/Karmancos%20web/spinnin/snake.rip/_astro/inter-cyrillic-wght-normal.262a1054.woff2	(from https://snake.rip/)
17:32:52	11952/11952	---M--	200	added ('OK')	font/woff2	etag:%2214eb7c566185e1d8860a0182df0cfa01%22	https://snake.rip/_astro/inter-greek-ext-wght-normal.fe977ddb.woff2	C:/Users/ahmed/OneDrive/Escritorio/Karmancos%20web/spinnin/snake.rip/_astro/inter-greek-ext-wght-normal.fe977ddb.woff2	(from https://snake.rip/)
17:32:52	22000/22000	---M--	200	added ('OK')	font/woff2	etag:%224145bdc43165360f250bbd84507c8a5b%22	https://snake.rip/_astro/inter-greek-wght-normal.89b4a3fe.woff2	C:/Users/ahmed/OneDrive/Escritorio/Karmancos%20web/spinnin/snake.rip/_astro/inter-greek-wght-normal.89b4a3fe.woff2	(from https://snake.rip/)
